#{"t_start": 1624582655.764554, "env_id": null}
r,l,t
2.875193,9,28.558685
2.007747,7,29.1455
1.598288,5,29.581563
2.10436,8,30.225693
1.315556,4,30.590793
1.500333,5,31.019153
1.472996,6,31.499358
3.403996,9,32.226278
4.291236,10,33.03697
2.915138,7,33.586346
3.87883,9,34.315664
3.880258,9,35.043524
1.648385,6,35.549443
1.862533,6,36.103793
3.062532,7,36.686426
2.559063,6,37.20848
3.676689,9,37.935894
5.21297,12,38.855722
4.85119,10,39.67375
2.861014,7,40.292623
1.274258,4,40.670934
1.699637,6,41.138661
3.115973,8,41.777964
6.839716,13,42.740566
2.240319,5,43.17917
2.671423,6,43.737293
3.33772,8,44.392306
2.069696,7,44.995488
5.441765,10,45.738224
2.257088,6,46.259545
4.045808,9,46.940683
4.121178,10,47.74353
9.293394,16,48.920865
3.391163,7,49.444459
3.845734,9,50.136652
1.60363,5,50.562526
1.896745,7,51.101487
7.97609,16,52.332983
3.407109,9,53.043549
1.61681,6,53.58599
1.467073,5,54.013593
3.658815,7,54.577171
4.939223,9,55.265551
2.31999,8,55.926678
1.78684,6,56.426586
2.146697,4,56.803601
4.652444,11,57.67539
1.538853,5,58.137767
1.375464,5,58.543619
2.645529,7,59.136858
2.754181,6,59.624978
1.645252,7,60.204445
8.032748,14,61.270684
3.065226,9,61.957932
1.83469,5,62.41745
7.267876,14,63.476248
1.896312,6,64.014838
3.388867,7,64.618915
1.717051,6,65.140502
1.523742,6,65.701968
1.386876,5,66.145386
4.831043,9,66.874097
2.778673,7,67.468368
2.957637,8,68.103938
1.858922,6,68.624003
2.433244,6,69.116878
3.050433,9,69.847444
4.044869,9,70.559289
4.405264,10,71.374425
1.969645,7,71.985181
3.843473,10,72.779271
4.763924,9,73.568557
2.147199,6,74.068051
1.835764,6,74.583385
3.182424,7,75.204625
2.740929,7,75.803561
4.802504,11,76.657432
1.782764,6,77.219361
3.064015,8,77.897678
2.95695,7,78.507288
3.459562,9,79.214595
5.252699,11,80.06965
3.18211,10,80.86694
2.640386,7,81.484585
2.843715,6,82.00071
1.628083,5,82.45233
3.173978,8,83.090172
3.519624,9,83.836287
2.196045,8,84.467219
2.99833,8,85.130085
4.960578,11,85.977767
4.483171,11,86.82959
8.179963,14,87.912724
2.390273,6,88.451301
1.660663,5,88.863515
2.50571,7,89.420146
3.377117,6,89.918041
5.152685,9,90.627509
3.796712,12,91.596339
1.488642,5,92.085684
3.818071,11,92.968821
2.170469,7,93.519434
4.604758,10,94.306048
