#{"t_start": 1627146900.845098, "env_id": null}
r,l,t
-34.343548,100,7.081378
-42.256956,100,14.112895
-42.764572,100,21.057611
-58.976445,100,27.915529
-44.721428,100,34.761632
-35.303561,100,41.715191
-43.480749,100,48.607287
-49.583074,100,55.445229
-52.212341,100,62.340203
-38.894434,100,69.21398
-43.037044,100,76.078453
-51.026829,100,82.91296
-35.608217,100,89.760295
-37.966655,100,96.688698
-50.731729,100,103.626912
-51.231268,100,110.543677
-34.77469,100,117.504807
-45.423138,100,124.478545
-42.970828,100,131.341651
-78.015941,100,138.284584
